Code,Name,ipo_date,,
000596.SZ,古井贡酒,1996/9/27,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
000597.SZ,东北制药,1996/5/23,CSRC医药制造业,Wind制药、生物科技与生命科学
000598.SZ,兴蓉环境,1996/5/29,CSRC水的生产和供应业,Wind公用事业Ⅱ
000599.SZ,青岛双星,1996/4/30,CSRC橡胶和塑料制品业,Wind汽车与汽车零部件
000600.SZ,建投能源,1996/6/6,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000601.SZ,韶能股份,1996/8/30,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000603.SZ,盛达矿业,1996/8/23,CSRC有色金属矿采选业,Wind材料Ⅱ
000605.SZ,渤海股份,1996/9/13,CSRC水的生产和供应业,Wind公用事业Ⅱ
000606.SZ,顺利办,1996/10/4,CSRC互联网和相关服务,Wind软件与服务
000607.SZ,华媒控股,1996/8/30,CSRC新闻和出版业,Wind媒体Ⅱ
000608.SZ,阳光股份,1996/9/19,CSRC房地产业,Wind房地产Ⅱ
000609.SZ,中迪投资,1996/10/10,CSRC综合,Wind房地产Ⅱ
000610.SZ,西安旅游,1996/9/26,CSRC公共设施管理业,Wind消费者服务Ⅱ
000611.SZ,*ST天首,1996/10/8,CSRC纺织业,Wind耐用消费品与服装
000612.SZ,焦作万方,1996/9/26,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000613.SZ,大东海A,1997/1/28,CSRC住宿业,Wind消费者服务Ⅱ
000615.SZ,京汉股份,1996/10/16,CSRC房地产业,Wind房地产Ⅱ
000616.SZ,海航投资,1996/11/8,CSRC房地产业,Wind房地产Ⅱ
000617.SZ,中油资本,1996/10/22,CSRC资本市场服务,Wind多元金融
000619.SZ,海螺型材,1996/10/23,CSRC橡胶和塑料制品业,Wind资本货物
000620.SZ,新华联,1996/10/29,CSRC房地产业,Wind房地产Ⅱ
000622.SZ,恒立实业,1996/11/7,CSRC专用设备制造业,Wind汽车与汽车零部件
000623.SZ,吉林敖东,1996/10/28,CSRC医药制造业,Wind制药、生物科技与生命科学
000625.SZ,长安汽车,1997/6/10,CSRC汽车制造业,Wind汽车与汽车零部件
000626.SZ,远大控股,1996/11/28,CSRC批发业,Wind资本货物
000627.SZ,天茂集团,1996/11/12,CSRC保险业,Wind保险Ⅱ
000628.SZ,高新发展,1996/11/18,CSRC房屋建筑业,Wind资本货物
000629.SZ,攀钢钒钛,1996/11/15,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000630.SZ,铜陵有色,1996/11/20,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000631.SZ,顺发恒业,1996/11/22,CSRC房地产业,Wind房地产Ⅱ
000632.SZ,三木集团,1996/11/21,CSRC批发业,Wind资本货物
000633.SZ,合金投资,1996/11/12,CSRC电气机械及器材制造业,Wind材料Ⅱ
000635.SZ,英力特,1996/11/20,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000636.SZ,风华高科,1996/11/29,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000637.SZ,茂化实华,1996/11/14,CSRC石油加工、炼焦及核燃料加工业,Wind材料Ⅱ
000638.SZ,万方发展,1996/11/26,CSRC软件和信息技术服务业,Wind资本货物
000639.SZ,西王食品,1996/11/26,CSRC农副食品加工业,Wind食品、饮料与烟草
000650.SZ,仁和药业,1996/12/10,CSRC医药制造业,Wind制药、生物科技与生命科学
000651.SZ,格力电器,1996/11/18,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000652.SZ,泰达股份,1996/11/28,CSRC批发业,Wind资本货物
000655.SZ,金岭矿业,1996/11/28,CSRC黑色金属矿采选业,Wind材料Ⅱ
000656.SZ,金科股份,1996/11/28,CSRC房地产业,Wind房地产Ⅱ
000657.SZ,中钨高新,1996/12/5,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000659.SZ,珠海中富,1996/12/3,CSRC橡胶和塑料制品业,Wind材料Ⅱ
000661.SZ,长春高新,1996/12/18,CSRC医药制造业,Wind制药、生物科技与生命科学
000662.SZ,天夏智慧,1996/12/16,CSRC软件和信息技术服务业,Wind软件与服务
000663.SZ,永安林业,1996/12/6,CSRC家具制造业,Wind耐用消费品与服装
000665.SZ,湖北广电,1996/12/10,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
000666.SZ,经纬纺机,1996/12/10,CSRC资本市场服务,Wind资本货物
000667.SZ,美好置业,1996/12/5,CSRC房地产业,Wind房地产Ⅱ
000668.SZ,荣丰控股,1996/12/10,CSRC房地产业,Wind房地产Ⅱ
000669.SZ,金鸿控股,1996/12/10,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000670.SZ,*ST盈方,1996/12/17,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
000671.SZ,阳光城,1996/12/18,CSRC房地产业,Wind房地产Ⅱ
000672.SZ,上峰水泥,1996/12/18,CSRC非金属矿物制品业,Wind材料Ⅱ
000673.SZ,当代东方,1997/1/24,CSRC文化艺术业,Wind媒体Ⅱ
000676.SZ,智度股份,1996/12/24,CSRC互联网和相关服务,Wind软件与服务
000677.SZ,恒天海龙,1996/12/26,CSRC化学纤维制造业,Wind材料Ⅱ
000678.SZ,襄阳轴承,1997/1/6,CSRC通用设备制造业,Wind汽车与汽车零部件
000679.SZ,大连友谊,1997/1/24,CSRC零售业,Wind零售业
000680.SZ,山推股份,1997/1/22,CSRC专用设备制造业,Wind资本货物
000681.SZ,视觉中国,1997/1/21,CSRC文化艺术业,Wind媒体Ⅱ
000682.SZ,东方电子,1997/1/21,CSRC电气机械及器材制造业,Wind资本货物
000683.SZ,远兴能源,1997/1/31,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000685.SZ,中山公用,1997/1/23,CSRC水的生产和供应业,Wind公用事业Ⅱ
000686.SZ,东北证券,1997/2/27,CSRC资本市场服务,Wind多元金融
000687.SZ,华讯方舟,1997/2/21,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
000688.SZ,国城矿业,1997/1/20,CSRC有色金属矿采选业,Wind材料Ⅱ
000690.SZ,宝新能源,1997/1/28,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000691.SZ,亚太实业,1997/2/28,CSRC房地产业,Wind房地产Ⅱ
000692.SZ,惠天热电,1997/2/27,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000695.SZ,滨海能源,1997/2/18,CSRC印刷和记录媒介复制业,Wind商业和专业服务
000697.SZ,炼石航空,1997/3/25,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
000698.SZ,沈阳化工,1997/2/20,CSRC石油加工、炼焦及核燃料加工业,Wind材料Ⅱ
000700.SZ,模塑科技,1997/2/28,CSRC汽车制造业,Wind汽车与汽车零部件
000701.SZ,厦门信达,1997/2/26,CSRC批发业,Wind资本货物
000702.SZ,正虹科技,1997/3/18,CSRC农副食品加工业,Wind食品、饮料与烟草
000703.SZ,恒逸石化,1997/3/28,CSRC化学纤维制造业,Wind材料Ⅱ
000705.SZ,浙江震元,1997/4/10,CSRC批发业,Wind医疗保健设备与服务
000707.SZ,ST双环,1997/4/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000708.SZ,大冶特钢,1997/3/26,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
000709.SZ,河钢股份,1997/4/16,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
000710.SZ,贝瑞基因,1997/4/22,CSRC专业技术服务业,Wind制药、生物科技与生命科学
000711.SZ,京蓝科技,1997/4/11,CSRC土木工程建筑业,Wind商业和专业服务
000712.SZ,锦龙股份,1997/4/15,CSRC资本市场服务,Wind多元金融
